col3,col33,col47,col65,col109,col121,col177,col197,col217,col229,col245,col261,col285,col305,col317,col365,col385,col405,col425,col445,col473,col493,col617,col641,col661,col681,col701,col713,col741,col761,col833,col853,col873,col893,col913,col933,col953,col973,col993,col1013,col1025,col1077,col1105,col1149,col1181,col1189,col1193,col1209,col1253,col1289,col1309,col1330,col1341,col1349,col1353,col1357,col1361,col1369,col1373,col1389,col1409,col1429,col1682,col1708,col1807,col1822,col1977,col1999,col2049,col2052,col2071,col2143,col2199,col2273,col2295,col2345,col2348,col2543,col2575,col2590,col2591,col2663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6656046.7,15.0,179564.0,,37.88,,,,,0.2562613816564786
,,,,,,,,,,,,,4.0,19.2,,30.0,5407132.0,23789540.0,715.0,55.7483,37.6171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8193703.78,3.5,204857.0,,38.75,5903704.0,362.0,362.0,7616803.0,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6652297.58,16.0,190542.0,,36.75,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,232846.0,,,35.56,1.4,10000.0,8.0,232846.0,,35.56,,,,,0.2586817645046357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,9303610.11,24.0,172907.0,,2.0,,,,,0.2541642972029413
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,397379.0,,,26.6,,12389002.23,4.0,397379.0,,26.6,10850000.0,362.0,362.0,10850000.0,0.3189938134633118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181055.06,-1.0,88847.0,,2.51,,,,,0.2588532073038523
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500000.0,5500000.0,,,,,,,4762627.2,,79600.0,,3.0,,,,,0.2562613816564786
,,,,60.0,,,,,0.25,0.1666666666666666,0.3333333333333333,2.1666666666666665,4.0,67.3,8.666666666666666,25.666666666666668,16149103.666666666,42864858.66666666,2037.0,55.7483,37.6171,,,,,,,,,,,,,,,,,,,,26.6,3806248.4375,0.0017921146953405,6.1,5.8666666348775225,6.1,865984.3333333334,0.0476190476190476,,,,,,,,,,,,,,,,,,22.0,210660.0,,4.0,4.5,,797274.5,22.0,210660.0,,4.0,,,,,0.2662850701762395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8093020.24,22.0,138777.0,,2.0,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6014369.67,,121858.0,,2.0,4818792.0,240.0,240.0,4818792.0,0.2562613816564786
,,,,15.0,0.25,,0.375,,,0.2027972027972027,0.5734265734265734,,3.0526315789473686,19.99,1.60431654676259,21.0,4771239.842105263,17777148.842105262,562.1052631578947,59.8983,37.6171,0.8333333333333334,4601152.166666667,4656538.166666667,183848.5,15066.666666666666,25.97,,13.666666666666666,,929483.0,,20.0,4647417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,182143.0,,,24.84,1.54,6143890.45,12.0,193677.0,,27.44,5850000.0,360.0,360.0,5300000.0,0.25820859661998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,179078.0,,,40.71,2.32,8579465.83,2.0,179078.0,,40.71,7624500.0,360.0,360.0,7292545.0,0.2584471777589903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13618757.58,8.0,169153.0,,3.0,,,,,0.2683644078109473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8341214.69,9.25,249597.0,,1.5,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6981392.62,11.0,192539.0,,35.76,5700000.0,,240.0,7410000.0,0.2556113676384911
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18316750.5,4.0,298869.0,3.0,3.0,,,,,0.2569190620677391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5244644.1,10.0,183900.0,,30.02,,,,,0.2562613816564786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,10370354.85,21.0,139581.0,,3.0,6698884.0,180.0,180.0,6698884.0,0.2567183659523679
,,,,,,,,,,,,,,,,,,,,55.7483,37.6171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15954140.79,9.0,277621.0,,2.0,,,,,0.2939887692826054
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6393292.48,12.0,156272.0,,1.5,,,,,0.2562613816564786
