report_date,col49,col57,col85,col93,col129,col137,col153,col161,col169,col181,col189,col201,col209,col221,col465,col513,col521,col529,col545,col553,col561,col585,col593,col609,col793,col1029,col1037,col1045,col1061,col1070,col1170,col1174,col1273,col1445,col1454,col1647
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00f3d719-a6ec-4960-ba01-8372eb705443,
2022-11-01,,,,,,,,,,,,,,https://samolet.ru/flats/?project=7,filter_price_asc,page_load,Mobile Safari,iPhone,/project/sputnik/,,sms,Russia,Moscow,,,,,,,,,,,,01febac0-b083-494e-8589-f98400074b94,
2022-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0278175e-c0bb-4e1e-bfe5-20db6811d3e2,
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0364571d-5325-ed11-b823-005056b825cd,
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,065957a6-9b2a-435a-b561-024e9e8d9ad7,
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07ca8162-5b7d-ed11-b824-005056b89b68,
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a154951-7e02-47d2-8d3d-480d0c84c206,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0aed31ac-cbe2-42cb-af39-8470ad01e8a4,
2023-01-01,https://samolet.ru/project/,projects_page,,,flat-detail-aside,booking_storage,Новоданиловская 8,Договор оферты,,,,,,https://samolet.ru/project/novodanilovskaya-8/,filter_price_asc,page_load,Chrome,Other,/,https://samolet.ru/,sms,Russia,Moscow,,,,,,,,2.0,Новоданиловская 8,СТИЛОБАТ1,,0b08a6bb-42f5-ec11-b822-005056b8a6d9,Истек срок опциона
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0b498e8a-7c01-466d-b112-0c5785574f45,
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0c6cc76e-bd09-4eec-b4c8-4ef642923b06,
2022-12-01,,,,apt_kitchen,flat-detail-aside,booking,Живи! В Рыбацком,Успешная оплата,,,,Стандарт,Silver Style,"https://samolet.ru/flats/?free=1&ordering=filter_price,pk&project=25&rooms=0&area_min=24&area_max=27.44",filter_price_asc,page_load,Chrome,Android,/spb/flats/,https://www.google.com/,,Russia,St.-Petersburg,Google,9c3b7e8f-941c-e811-80dd-005056b8d207,,,main,,,,,,,0d4ec1c7-914f-ed11-b824-005056b89b68,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0d92e8bb-7312-ed11-b824-005056b89b68,
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0ed64779-4334-4018-8b29-8ac3ad4353e0,
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0f4a91d4-23f6-4745-9461-60d5cbf276ba,
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0fe93355-5c69-455c-b7f5-b29f4b4db275,
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101472b3-875b-428d-bcc2-21a30f13f124,
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071b34a-8ae6-40cf-96f2-328155d43be4,
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12285d31-e47f-4044-b18a-6e590188fcf2,
2022-12-01,,,,,,,,,,,,,,,,page_load,Mobile Safari,iPhone,/,https://yandex.ru/,cpc,Russia,Moscow,Yandex,,,,,,,,,,,13518128-3ebd-4b5f-9bdd-9220048a60de,
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361f472-a35e-4eb1-af5d-3308b40bcc3a,
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361f472-a35e-4eb1-af5d-3308b40bcc3a,
2022-10-01,,,,,,,,,,,,,,https://samolet.ru/spb/?utm_source=yandex_search&utm_medium=cpc&utm_campaign=samolet_live_yd_s_brand_rf_brand_spb_common_search_search_samolet_text_rf_33~n2jmmjvj|76037737&utm_term=%D0%B7%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%89%D0%B8%D0%BA%20%D1%81%D0%B0%D0%BC%D0%BE%D0%BB%D0%B5%D1%82%20%D1%81%D0%BF%D0%B1&utm_content=39756956308_|cid|76037737|gid|4961640683|aid|12383135333|adp|no|pos|premium1|src|search_none|dvc|mobile|reg|146|text_otdelka&calltouch_tm=yd_c:76037737_gb:4961640683_ad:12383135333_ph:39756956308_st:search_pt:premium_p:1_s:none_dt:mobile_reg:146_ret:_apt:none&etext=2202.465i0WoRE91Vhg5hfO__-SXoAFTqrEasm4_yLlravAzZkgQ4UrNdZStpSvJ1VaBkeG93cmN1cG9mcXpzcXZmeA.a5b0aa264316e87d30f5440e341ff5a272bd6f71&yclid=5499149254964339587,,page_load,Chrome,Android,/spb/,https://yandex.ru/,cpc,Russia,Voronezh Oblast,Yandex,,,,,,,,,,,1464db6a-d629-ed11-b824-005056b89b68,
2022-12-01,,,,,flat-detail-aside,booking,Сандэй,Успешная оплата,,,,,,https://samolet.ru/spb/account/login/?next=/spb/account/#popup-parking-booking-success?project=sunday&price=8473479&orderId=442a690f-59bd-75d9-b74d-521e025fa050&lang=ru,filter_price_asc,page_load,Chrome,Android,/spb/account/login/,https://3ds-ds1.mirconnect.ru/,,Russia,St.-Petersburg,Google,,,,,,,,,,,15ce3286-7a62-ed11-b822-005056b8a6c4,
2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169e0338-95c5-4ab5-b94b-d7a55c501214,
2021-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16c5c669-adb2-412b-81e7-dad059f75b59,
2022-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189071aa-fa12-453a-817e-a7e40ee5aa77,
