report_date,client_id,target,col1,col3,col5,col25,col29,col33,col45,col47,col65,col101,col109,col121,col177,col197,col217,col229,col245,col261,col277,col285,col305,col317,col357,col365,col385,col397,col405,col425,col437,col445,col473,col493,col617,col633,col641,col661,col673,col681,col693,col701,col713,col733,col741,col761,col801,col809,col817,col825,col833,col845,col853,col865,col873,col885,col893,col905,col913,col933,col945,col953,col965,col973,col993,col1013,col1025,col1077,col1097,col1105,col1117,col1149,col1165,col1181,col1189,col1193,col1201,col1209,col1221,col1253,col1281,col1289,col1309,col1330,col1341,col1349,col1353,col1357,col1361,col1369,col1373,col1381,col1389,col1409,col1421,col1429,col1441,col1453,col1487,col1661,col1682,col1706,col1708,col1778,col1807,col1822,col1823,col1895,col1919,col1977,col1999,col2047,col2049,col2052,col2071,col2143,col2167,col2199,col2271,col2273,col2295,col2343,col2345,col2348,col2463,col2543,col2567,col2575,col2590,col2591,col2663
2022-11-01,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,6656046.7,15.0,15.0,179564.0,1.0,,37.88,545.0,,,,,,0.2562613816564786
2022-11-01,5,0,,,,,,,,,,,,,,,,,,,0.0,,4.0,19.2,1.0,,30.0,5407132.0,5407132.0,23789540.0,715.0,715.0,55.7483,37.6171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,8193703.78,4.0,3.5,204857.0,1.0,,38.75,242.0,5903704.0,362.0,362.0,362.0,7616803.0,0.2562613816564786
2022-05-01,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,6652297.58,16.0,16.0,190542.0,1.0,,36.75,557.0,,,,,,0.2562613816564786
2022-09-01,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.0,2.0,0.0,8.0,232846.0,1.0,,,35.56,1.4,1.0,10000.0,8.0,8.0,232846.0,1.0,,35.56,0.0,,,,,,0.2586817645046357
2022-08-01,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,55.0,,,,,,0.0,0.0,0.0,,,,,,,,0.0,9303610.11,24.0,24.0,172907.0,2.0,,2.0,256.0,,,,,,0.2541642972029413
2023-02-01,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,4.0,397379.0,1.0,,,26.6,,0.0,12389002.23,4.0,4.0,397379.0,1.0,,26.6,31.0,10850000.0,362.0,362.0,362.0,10850000.0,0.3189938134633118
2022-11-01,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,181055.06,-1.0,-1.0,88847.0,1.0,,2.51,336.0,,,,,,0.2588532073038523
2023-01-01,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,5500000.0,5500000.0,5500000.0,,,,,,,,,,,0.0,4762627.2,2.0,,79600.0,3.0,,3.0,1972.0,,,,,,0.2562613816564786
2023-01-01,18,0,,,,,,,,,,60.0,60.0,,,,,0.25,0.1666666666666666,0.3333333333333333,4.0,2.1666666666666665,4.0,67.3,22.0,8.666666666666666,25.666666666666668,28286324.0,16149103.666666666,42864858.66666666,12090.0,2037.0,55.7483,37.6171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,5742612.0,3806248.4375,-2.0,0.0017921146953405,2.0,6.1,5.8666666348775225,6.1,900427.0,865984.3333333334,-2.0,0.0476190476190476,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,22.0,210660.0,4.0,,4.0,4.5,,0.0,797274.5,22.0,22.0,210660.0,4.0,,4.0,68.0,,,,,,0.2662850701762395
2022-02-01,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,8093020.24,22.0,22.0,138777.0,2.0,,2.0,364.0,,,,,,0.2562613816564786
